FID;pointid;grid_code;lake_id;hl_avg_dis;hl_wrt_d;buflake
52438;456631;456631;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52440;456680;456680;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52441;456681;456681;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52442;456682;456682;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52443;456683;456683;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52445;456700;456700;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52446;456701;456701;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52447;456702;456702;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52448;456703;456703;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52449;456704;456704;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52450;456705;456705;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52451;456706;456706;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52452;456707;456707;-9999;-9999,000000000000000;-9999,000000000000000;-9999
