"samples","Aliphatic_(#)","Aliphatic_(%)","Aliphatic_(%RA)","CHO.1_(#)","CHO.2","CHON_(#)","CHON_(%)","CHOS_(#)","CHOS_(%)","CHO_(#)","CHO_(%)_(%)","Condensed_aromatics_(#)","Condensed_aromatics_(%)","Condensed_aromatics_(%RA)","Highly_Unsaturated_and_Phenolic_(#)","Highly_Unsaturated_and_Phenolic_(%)","Highly_Unsaturated_and_Phenolic_(%RA)","Num.formula_(#)","Peptide_(#)","Peptide_(%)","Peptide_(%RA)","Polyphenolic_(#)","Polyphenolic_(%)","Polyphenolic_(%RA)","Sugars_(#)","Sugars_(%)","Sugars_(%RA)","AI_WeightedAve","AImod_WeightedAve","AveMass","HC_WeightedAve","Mass_WeightedAve","NC_WeightedAve","NOSC_WeightedAve","OC_WeightedAve"
"LR35",350,6.62126371547484,7.4228088616205,4111,77.7714718123345,959,18.1422625804011,216,4.08626560726447,4111,77.7714718123345,232,4.38895194854332,4.92249560408216,3745,70.8475217555808,162.62138060852,5286,120,2.27014755959137,0.516512863821716,705,13.3371169125993,22.4947373310332,110,2.08096859629209,0.715535468480114,0.0677033223940856,0.320993440624341,529.493832041619,1.08377486286307,438.175033197471,0.00276199750131418,0.0506718053337696,0.5622870895871
"LR37",230,4.50626959247649,3.99399191564141,4195,82.1904388714734,909,17.8095611285266,0,0,4195,82.1904388714734,389,7.62147335423198,10.4987132323208,3396,66.5360501567398,151.152553687796,5104,42,0.822884012539185,0.133020719742705,914,17.9075235109718,33.1823697535984,68,1.33228840125392,0.350462563961007,0.106107939236265,0.371821655530903,525.435218790556,1.00887099028959,446.968169211568,0.0023917948884059,0.113146099782869,0.557420852703543
"LR39",419,7.10169491525424,8.31276419145988,4389,74.3898305084746,1219,20.6610169491525,292,4.94915254237288,4389,74.3898305084746,239,4.05084745762712,4.87663996951843,4177,70.7966101694915,162.484600994225,5900,184,3.11864406779661,0.646740632529576,750,12.7118644067797,21.8562005854214,97,1.64406779661017,0.540562162996848,0.0677451120560897,0.31639282312402,537.714042537966,1.09526811964934,438.030403120462,0.00310250706230534,0.0261334019400213,0.555133736437509
"LR42",411,7.11318795430945,8.1156675595702,4363,75.5105572862582,1131,19.5742471443406,284,4.91519556940118,4363,75.5105572862582,264,4.56905503634476,5.6927380985437,4051,70.110764970578,160.417323573952,5778,165,2.85565939771547,0.584895302683708,756,13.0841121495327,23.4207811903152,85,1.47109726548979,0.524375939323066,0.0724700099116972,0.322872362477864,535.539553623572,1.08538826976123,438.208329873801,0.00300942166086052,0.0367861365487698,0.555678831189922
"LR44",370,6.82782801254844,7.87044481303224,4200,77.5050747370364,1006,18.5643107584425,213,3.93061450452113,4200,77.5050747370364,243,4.48422218121425,5.55572101829815,3798,70.0867318693486,160.526808060356,5419,165,3.04484222181214,0.666135928781234,722,13.323491419081,23.5560136529186,85,1.56855508396383,0.522780512032611,0.0717546338070337,0.323770438618145,533.100053901458,1.08441032075525,437.729841916596,0.00278350773093738,0.0375144145892835,0.556004481130535
"LR45",312,5.56844547563805,6.32870678067594,4512,80.5282884169195,983,17.5441727645904,108,1.92753881849009,4512,80.5282884169195,288,5.14010351597359,6.091038988654,3969,70.8370515795109,160.145007023788,5603,86,1.534892022131,0.338961567282127,820,14.6350169552026,25.4663911772318,91,1.62412993039443,0.589106412730396,0.0770308867867071,0.334982427180232,545.117392502409,1.06303529238775,450.074265186864,0.00267870690806911,0.0645446777386328,0.559455817958726
"LRH04",408,7.32101202225013,8.05055119553129,4275,76.7091333213709,1058,18.984389018482,240,4.30647766014714,4275,76.7091333213709,238,4.27059034631258,4.86552151225329,3888,69.7649380943836,162.502046554864,5573,196,3.51695675578683,0.769928642554328,711,12.7579400681859,21.668636917404,102,1.83025300556254,0.643417612516612,0.0657647266645309,0.317944378829965,535.035240584066,1.09085982174283,441.564363582132,0.00280349361669652,0.0358461723337659,0.55830226615037
"LRH07",329,6.42452645967584,6.95827747967196,4204,82.0933411443078,717,14.0011716461629,200,3.90548720952939,4204,82.0933411443078,257,5.01855106424526,5.61495486984869,3624,70.7674282366726,162.063993105811,5121,60,1.17164616285882,0.239830917676987,730,14.2550283147823,23.555977870851,87,1.69888693614529,0.609850259623584,0.0702421894511426,0.328671807569514,540.358934141769,1.07201296872857,445.749606961585,0.00213185380517553,0.0589194586708345,0.561503883949507
"LRH08",418,5.59646539027983,4.70759315007264,5425,72.6335520149953,1783,23.8720042843754,261,3.49444370062927,5425,72.6335520149953,430,5.75712946846967,7.56916030245064,5199,69.6077118757531,158.339405385992,7469,97,1.2987012987013,0.245399863166594,1133,15.1693667157585,27.851388101507,106,1.41919935734369,0.425996932718109,0.0871004626195773,0.349772610746831,553.306673953407,1.032134178949,476.821586238364,0.00346464994719648,0.10429765588098,0.562498522207758
"LRH11",269,5.30362776025237,6.28123043107048,4199,82.7878548895899,873,17.2121451104101,0,0,4199,82.7878548895899,241,4.75157728706625,5.26235672136674,3606,71.096214511041,162.439366446988,5072,115,2.26735015772871,0.499965872437443,713,14.057570977918,23.5309110147659,94,1.85331230283911,0.688685371929216,0.0669589175735781,0.32884229192068,546.879500041009,1.06835714400644,448.982278445677,0.00245973186875313,0.0745393966246875,0.567758672512362
