"sample","mz","HC","OC","DBE","DBE_O","AImod","NOSC","GFE","aliphatic","low.O.unsaturated","high.O.unsaturated","polyphenols","condensed.aromatics","fl_condensed.aromatics","fl_polyphenolic","fl_highly.unsat.phenolic","fl_aliphatic","fl_peptide","fl_sugar","H","O","C","N","S","sum","nformula"
"RO1.20",505.961673900632,1.0881328658061,0.542040970679459,11.8479061854771,-0.455264152665225,0.31346710790875,0.0592600087161063,58.611089751591,11.8334436518962,25.0305023072688,40.7580945333995,15.0893871818854,5.46189659547534,6.00500735061891,14.5462764267418,67.6152725707431,7.65393005812245,4.1795135937737,0,24.9559688288441,12.3031703381424,23.1459650561884,0.359851087421421,0.0700279675711974,9.99974643835791e-06,13737
"RO2.62",511.147642207193,1.08729485676149,0.541038779024617,11.9765347441755,-0.442979549459244,0.313934856416621,0.0569968867329001,58.6755887281123,11.6483436895734,25.3032263585481,40.6811267027899,15.0513545527545,5.45124837788533,5.97162973252073,14.5309731981191,67.8490533797868,7.54488487489481,4.10345881467859,0,25.2243126874413,12.4195142936347,23.4103138202139,0.356754535364462,0.0677068509427053,9.99233569480189e-06,13737
"RO2.64",512.00074765047,1.0864199154838,0.540888400561225,12.0070583650663,-0.432484429824699,0.314600898612438,0.0573588362819854,58.6652731659634,11.613487458665,25.2949202185932,40.6659254905142,15.0373719659105,5.50107104545242,6.01644076213042,14.5220022492325,67.8480695299721,7.56310600348443,4.05038145518056,0,25.2516485676329,12.439542794891,23.4548316790168,0.356101939731903,0.0670852312600038,9.99726603360133e-06,13737
"RO2.66",505.121012923015,1.08854979529636,0.542163367202617,11.8247227592485,-0.459535868509601,0.313164560904841,0.0594480495464237,58.6057305879269,11.8952236285946,24.9784964515481,40.7111747302299,15.0892202197301,5.46062135267869,5.99572594403543,14.5541156283733,67.5549347989967,7.67007505941206,4.22514856918253,0,24.9148358217236,12.2842586277581,23.1012629008279,0.361755538564782,0.0704359105912593,9.99989679663348e-06,13737
"RO2.68",508.627904605151,1.08776504478638,0.541511950796471,11.9125244130949,-0.450624663619081,0.313617318463043,0.0581233048253542,58.6434858124774,11.7490176099761,25.1756282594035,40.6762235295472,15.0634269934187,5.46304529475925,5.98923983069109,14.5372324574868,67.724510101846,7.59952890037381,4.1494887096023,0,25.093381549862,12.363149076714,23.2797279803711,0.358974415309755,0.0692619532705279,9.99796566375546e-06,13737
"LR57",537.270138227604,1.07775928831879,0.536528533432539,12.6778610471136,-0.338239838274414,0.320637159461037,0.0504045817331527,58.8634694206051,10.5832045667964,26.4017925425136,40.4315169383076,15.2220213735788,5.47585329662083,5.89416248491707,14.8037121852826,68.7189207630039,6.99419992070968,3.58900464608673,0,26.4839415276494,13.016100885388,24.7546167185189,0.330430184838763,0.0535584399506682,9.99625335072793e-06,13737
"RO2.70",509.028039225423,1.08772063263442,0.541487945980376,11.9215202122678,-0.450618932136376,0.313683728315091,0.057949179078936,58.6484483962503,11.7298056821778,25.1691305900721,40.7333503214402,15.0612907030708,5.45015746601368,5.98039190738707,14.5310562616974,67.7587461487378,7.60340927096689,4.12639641121089,0,25.117647071988,12.3721391444042,23.3013454237507,0.357996649022283,0.0688292715177551,9.99874916031122e-06,13737
"RO2.72",508.655672487602,1.08760608747325,0.541549860714052,11.9146357409787,-0.449092844014233,0.313761098537869,0.0583141073501041,58.638047940522,11.7349547444198,25.1642315363277,40.7266021395937,15.0588373286355,5.46430436792022,5.99281865013689,14.5303230464189,67.7419035590244,7.60343075522286,4.13152398919697,0,25.0941696021679,12.3637285849929,23.2823487171699,0.358743649785465,0.0689331370244755,9.9992330214119e-06,13737
"RO2.74",510.964870530455,1.08723462550202,0.541196173669708,11.9693270305946,-0.445885284151271,0.313944120924912,0.0573035471603756,58.6668489059293,11.6487140299242,25.2643929569523,40.7909986677042,14.9855809188331,5.47264414963813,6.00650097045448,14.4517240980168,67.8930609016046,7.58706467301348,4.06164935691071,0,25.2205161625629,12.4152123147459,23.4017212919199,0.355727639912313,0.0679368758782307,9.99835848504455e-06,13737
"RO2.76",501.594650706499,1.08926391148788,0.542899325762386,11.7343048148996,-0.469706275428655,0.312776572422029,0.0612055897878876,58.5556406910452,12.0510415461087,24.774217470888,40.7719336700518,15.0626760098363,5.52170039171606,6.05744196671955,14.5269344348328,67.3645820523389,7.8010417929221,4.24999975318665,0,24.7390742996819,12.2040110903282,22.9209320225982,0.365819884284595,0.0717303015227385,9.99985724746398e-06,13737
